MtrunA17CPg0492181	NAD(P)H-quinone oxidoreductase subunit 5
MtrunA17Chr2g0323341	Putative protein kinase RLK-Pelle-SD-2b family
MtrunA17Chr2g0323351	Putative transcription factor MYB-HB-like family
MtrunA17Chr2g0323361	Putative cyclin
MtrunA17Chr2g0323371	Cytochrome b6-f complex iron-sulfur subunit
MtrunA17Chr2g0323381	Putative equilibrative nucleoside transporter, major facilitator superfamily
MtrunA17Chr2g0323391	hypothetical protein
MtrunA17Chr2g0323401	Photosystem II protein D1
MtrunA17Chr2g0323411	Putative transcription factor MYB-HB-like family
MtrunA17Chr2g0323421	Putative anthocyanin 6''-O-malonyltransferase
MtrunA17Chr2g0323441	Putative transferase
MtrunA17Chr2g0323451	Putative anthocyanin 6''-O-malonyltransferase
MtrunA17Chr2g0323461	Putative anthocyanin 5-O-glucoside 6'''-O-malonyltransferase
MtrunA17Chr2g0323471	Putative transferase
MtrunA17Chr2g0323481	Putative transferase
MtrunA17Chr2g0323491	Putative transferase
MtrunA17Chr2g0323501	Putative transferase
MtrunA17Chr2g0323511	Putative transferase
MtrunA17Chr2g0323521	Putative diacylglycerol kinase (ATP)
MtrunA17Chr2g0323531	Putative protein Thf1
MtrunA17Chr2g0323541	hypothetical protein
MtrunA17Chr2g0323551	hypothetical protein
MtrunA17Chr2g0323561	hypothetical protein
MtrunA17Chr2g0323571	hypothetical protein
MtrunA17Chr2g0323581	hypothetical protein
MtrunA17Chr2g0323591	hypothetical protein
MtrunA17Chr2g0323601	hypothetical protein
MtrunA17Chr2g0323611	hypothetical protein
MtrunA17Chr2g0323621	hypothetical protein
MtrunA17Chr2g0323631	hypothetical protein
MtrunA17Chr2g0323651	hypothetical protein
MtrunA17Chr2g0323661	hypothetical protein
MtrunA17Chr2g0323671	hypothetical protein
MtrunA17Chr2g0323681	hypothetical protein
MtrunA17Chr2g0323691	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr2g0323701	hypothetical protein
MtrunA17Chr2g0323711	hypothetical protein
MtrunA17Chr2g0323721	hypothetical protein
MtrunA17Chr2g0323731	Putative vesicle-associated membrane-protein-associated protein
MtrunA17Chr2g0323741	hypothetical protein
MtrunA17Chr2g0323751	hypothetical protein
MtrunA17Chr2g0323761	hypothetical protein
MtrunA17Chr2g0323771	Putative pentatricopeptide
MtrunA17Chr2g0323791	hypothetical protein
MtrunA17Chr2g0323801	Putative chloroplast protein import component Tic20
MtrunA17Chr2g0323811	Putative chloroplast protein import component Tic20
MtrunA17Chr2g0323821	Putative QWRF family protein
MtrunA17Chr2g0323831	Putative glutamate formimidoyltransferase, 5-formyltetrahydrofolate cyclo-ligase
MtrunA17Chr2g0323841	Putative glutamate formimidoyltransferase, 5-formyltetrahydrofolate cyclo-ligase
MtrunA17Chr2g0323851	hypothetical protein
MtrunA17Chr2g0323861	Putative glutamate formimidoyltransferase, Formimidoyltetrahydrofolate cyclodeaminase
MtrunA17Chr2g0323871	Putative formiminotransferase subdomain-containing protein
MtrunA17Chr2g0323881	Putative transcription factor ULT family
MtrunA17Chr2g0323891	Putative translation protein, beta-barrel
MtrunA17Chr2g0323901	hypothetical protein
MtrunA17Chr2g0323911	hypothetical protein
MtrunA17Chr2g0323921	hypothetical protein
MtrunA17Chr2g0323931	hypothetical protein
MtrunA17Chr2g0323941	Putative non-specific protein-tyrosine kinase RLK-Pelle-LRR-V family
MtrunA17Chr2g0323961	Putative WWE domain-containing protein
MtrunA17Chr2g0323971	Putative 43kDa postsynaptic protein
MtrunA17Chr2g0323981	Lipoyl synthase 2
MtrunA17Chr2g0323991	hypothetical protein
MtrunA17Chr2g0324001	hypothetical protein
MtrunA17Chr2g0324011	Putative transcription factor FAR family
MtrunA17Chr2g0324021	Putative oxidoreductase
MtrunA17Chr2g0324031	hypothetical protein
MtrunA17Chr2g0324041	hypothetical protein
MtrunA17Chr2g0324051	hypothetical protein
MtrunA17Chr2g0324061	Putative protein-serine/threonine phosphatase
MtrunA17Chr2g0324071	Putative photosystem II Pbs27
MtrunA17Chr2g0324081	hypothetical protein
MtrunA17Chr2g0324091	hypothetical protein
MtrunA17Chr2g0324101	hypothetical protein
MtrunA17Chr2g0324111	hypothetical protein
MtrunA17Chr2g0324121	Putative vacuolar protein sorting-associated protein Ist1
MtrunA17Chr2g0324131	Putative transcription factor AP2-EREBP family
MtrunA17Chr2g0324141	Putative soluble epoxide hydrolase
MtrunA17Chr2g0324151	hypothetical protein
MtrunA17Chr2g0324161	Putative soluble epoxide hydrolase
MtrunA17Chr2g0324171	Putative protein kinase RLK-Pelle-L-LEC family
MtrunA17Chr2g0324181	Putative expansin/Lol pI
MtrunA17Chr2g0324191	Putative expansin/Lol pI
MtrunA17Chr2g0324201	Putative expansin/Lol pI
MtrunA17Chr2g0324211	hypothetical protein
MtrunA17Chr2g0324221	Putative expansin/Lol pI
MtrunA17Chr2g0324241	Putative transcription factor C2H2 family
MtrunA17Chr2g0324251	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr2g0324261	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr2g0324271	Putative plant self-incompatibility S1
MtrunA17Chr2g0324281	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr2g0324291	Putative transcription factor C2H2 family
MtrunA17Chr2g0324301	hypothetical protein
MtrunA17Chr2g0324311	hypothetical protein
MtrunA17Chr2g0324321	Putative bifunctional inhibitor/plant lipid transfer protein/seed storage helical
MtrunA17Chr2g0324331	hypothetical protein
MtrunA17Chr2g0324351	hypothetical protein
MtrunA17Chr2g0324361	Putative BAH domain-containing protein
MtrunA17Chr2g0324371	hypothetical protein
MtrunA17Chr2g0324381	Putative chromatin regulator PHD family
MtrunA17Chr2g0324391	hypothetical protein
MtrunA17Chr2g0324401	Putative translation protein, beta-barrel
MtrunA17Chr2g0324411	Putative 1,3-beta-glucan synthase
MtrunA17Chr2g0324421	Putative Two pore calcium channel protein
MtrunA17Chr2g0324431	hypothetical protein
MtrunA17Chr2g0324441	Putative mannan endo-1,4-beta-mannosidase
MtrunA17Chr2g0324451	hypothetical protein
MtrunA17Chr2g0324461	Putative protein-serine/threonine kinase CMGC-CDK-CRK7-CDK9 family
MtrunA17Chr2g0324471	Putative protein kinase RLK-Pelle-L-LEC family
MtrunA17Chr2g0324481	Putative protein kinase RLK-Pelle-L-LEC family
MtrunA17Chr2g0324511	Putative transcription factor bHLH family
MtrunA17Chr2g0324521	hypothetical protein
MtrunA17Chr2g0324531	hypothetical protein
MtrunA17Chr2g0324541	hypothetical protein
MtrunA17Chr2g0324551	hypothetical protein
MtrunA17Chr2g0324561	Putative transcription factor interactor and regulator CCHC(Zn) family
MtrunA17Chr2g0324571	hypothetical protein
MtrunA17Chr2g0324581	Putative proton pump-interactor
MtrunA17Chr2g0324591	Putative proton pump-interactor
MtrunA17Chr2g0324601	Putative photosystem I
MtrunA17Chr2g0324611	Putative NADH:ubiquinone reductase (H(+)-translocating)
MtrunA17Chr2g0324621	NAD(P)H-quinone oxidoreductase subunit I
MtrunA17Chr2g0324631	NAD(P)H-quinone oxidoreductase subunit 1
MtrunA17Chr2g0324651	Putative NADH dehydrogenase (quinone)
MtrunA17Chr2g0324661	Putative proton pump-interactor
MtrunA17Chr2g0324671	Putative transcription factor interactor and regulator CCHC(Zn) family
MtrunA17Chr2g0324691	Putative proton pump-interactor
MtrunA17Chr2g0324711	Putative cupredoxin
MtrunA17Chr2g0324721	Putative cupredoxin
MtrunA17Chr2g0324731	Putative glycosidase
MtrunA17Chr2g0324741	Putative glycosidase
MtrunA17Chr2g0324751	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr2g0324761	hypothetical protein
MtrunA17Chr2g0324771	Putative bifunctional inhibitor/plant lipid transfer protein/seed storage helical
MtrunA17Chr2g0324781	Putative transcription factor C3H family
MtrunA17Chr2g0324791	Putative phospholipid-translocating ATPase
MtrunA17Chr2g0324801	Putative aromatic-amino-acid transaminase
MtrunA17Chr2g0324811	hypothetical protein
MtrunA17Chr2g0324821	Putative nucleic acid-binding protein
MtrunA17Chr2g0324851	Putative protein NUCLEAR FUSION DEFECTIVE 6, chloroplastic/mitochondrial
MtrunA17Chr2g0324861	Putative nuclear cap-binding protein subunit 2
MtrunA17Chr2g0324871	hypothetical protein
MtrunA17Chr2g0324881	hypothetical protein
MtrunA17Chr2g0324891	Putative transcription factor MYB-HB-like family
MtrunA17Chr2g0324901	hypothetical protein
MtrunA17Chr2g0324911	hypothetical protein
MtrunA17Chr2g0324921	Putative terminal organelle assembly protein TopJ
MtrunA17Chr2g0324931	Putative protein kinase RLK-Pelle-LRR-XI-1 family
MtrunA17Chr2g0324941	Putative rapid ALkalinization Factor
MtrunA17Chr2g0324951	hypothetical protein
MtrunA17Chr2g0324961	Putative transcription factor NAM family
MtrunA17Chr2g0324971	Putative lysine methyltransferase, S-adenosyl-L-methionine-dependent methyltransferase
MtrunA17Chr2g0324981	hypothetical protein
MtrunA17Chr2g0324991	Putative transcription factor C2H2 family
MtrunA17Chr2g0325001	Putative glutaredoxin-like, plant II, thioredoxin-like protein
MtrunA17Chr2g0325011	Putative prohibitin, Band 7 domain-containing protein
MtrunA17Chr2g0325021	Putative FAS1 domain-containing protein
MtrunA17Chr2g0325031	hypothetical protein
MtrunA17Chr2g0325041	hypothetical protein
MtrunA17Chr2g0325051	hypothetical protein
MtrunA17Chr2g0325061	hypothetical protein
MtrunA17Chr2g0325071	Putative serine C-palmitoyltransferase
MtrunA17Chr2g0325081	Putative F-box domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr2g0325091	Putative small GTPase superfamily, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr2g0325101	Putative small GTPase superfamily, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr2g0325111	Putative pentatricopeptide
MtrunA17Chr2g0325121	Putative actinidain
MtrunA17Chr2g0325131	Putative transcription factor bZIP family
MtrunA17Chr2g0325141	Putative chromatin regulator PHD family
MtrunA17Chr2g0325151	Putative ribosomal protein L10e
MtrunA17Chr2g0325161	Putative chromatin regulator PHD family
MtrunA17Chr2g0325171	Putative transcription factor TCP family
MtrunA17Chr2g0325191	hypothetical protein
MtrunA17Chr2g0325201	hypothetical protein
MtrunA17Chr2g0325211	hypothetical protein
MtrunA17Chr2g0325221	hypothetical protein
MtrunA17Chr2g0325231	hypothetical protein
MtrunA17Chr2g0325241	hypothetical protein
MtrunA17Chr2g0325251	hypothetical protein
MtrunA17Chr2g0325261	hypothetical protein
MtrunA17Chr2g0325271	hypothetical protein
MtrunA17Chr2g0325281	hypothetical protein
MtrunA17Chr2g0325291	hypothetical protein
MtrunA17Chr2g0325301	Putative ribonuclease H
MtrunA17Chr2g0325311	hypothetical protein
MtrunA17Chr2g0325321	hypothetical protein
MtrunA17Chr2g0325331	hypothetical protein
MtrunA17Chr2g0325341	hypothetical protein
MtrunA17Chr2g0325351	hypothetical protein
MtrunA17Chr2g0325361	hypothetical protein
MtrunA17Chr2g0325371	hypothetical protein
MtrunA17Chr2g0325381	hypothetical protein
MtrunA17Chr2g0325391	Putative chromatin remodeler Bromodomain family
MtrunA17Chr2g0325401	hypothetical protein
MtrunA17Chr2g0325411	Putative chromatin remodeler Bromodomain family
MtrunA17Chr2g0325421	Putative Ferritin-like superfamily
MtrunA17Chr2g0325431	Putative F-box domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr2g0325441	hypothetical protein
MtrunA17Chr2g0325451	hypothetical protein
MtrunA17Chr2g0325461	hypothetical protein
MtrunA17Chr2g0325471	hypothetical protein
MtrunA17Chr2g0325481	Putative PMR5 domain, PC-Esterase
MtrunA17Chr2g0325491	hypothetical protein
MtrunA17Chr2g0325501	Putative PH domain-containing protein
MtrunA17Chr2g0325511	hypothetical protein
MtrunA17Chr2g0325521	Putative transcription factor bHLH family
MtrunA17Chr2g0325531	hypothetical protein
MtrunA17Chr2g0325541	Ketol-acid reductoisomerase
MtrunA17Chr2g0325551	Ketol-acid reductoisomerase
MtrunA17Chr2g0325561	hypothetical protein
MtrunA17Chr2g0325571	hypothetical protein
MtrunA17Chr2g0325581	Putative riboflavin kinase
MtrunA17Chr2g0325591	Putative 14-3-3 protein
MtrunA17Chr2g0325601	Putative heavy metal-associated domain, HMA
MtrunA17Chr2g0325611	hypothetical protein
MtrunA17Chr2g0325621	hypothetical protein
MtrunA17Chr2g0325631	hypothetical protein
MtrunA17Chr2g0325641	hypothetical protein
MtrunA17Chr2g0325651	hypothetical protein
MtrunA17Chr2g0325661	hypothetical protein
MtrunA17Chr2g0325681	hypothetical protein
MtrunA17Chr2g0325691	hypothetical protein
MtrunA17Chr2g0325701	hypothetical protein
MtrunA17Chr2g0325711	hypothetical protein
MtrunA17Chr2g0325721	hypothetical protein
MtrunA17Chr2g0325731	hypothetical protein
MtrunA17Chr2g0325741	hypothetical protein
MtrunA17Chr2g0325751	hypothetical protein
MtrunA17Chr2g0325761	hypothetical protein
MtrunA17Chr2g0325771	hypothetical protein
MtrunA17Chr2g0325781	hypothetical protein
MtrunA17Chr2g0325791	hypothetical protein
MtrunA17Chr2g0325801	hypothetical protein
MtrunA17Chr2g0325811	hypothetical protein
MtrunA17Chr2g0325821	Putative phosphoenolpyruvate carboxylase
MtrunA17Chr2g0325831	Putative ALOG domain-containing protein
MtrunA17Chr2g0325841	Putative transcription factor Trihelix family
MtrunA17Chr2g0325851	Putative protein kinase TKL-CTR1-DRK-1 family
MtrunA17Chr2g0325861	hypothetical protein
MtrunA17Chr2g0325871	hypothetical protein
MtrunA17Chr2g0325881	hypothetical protein
MtrunA17Chr2g0325891	hypothetical protein
MtrunA17Chr2g0325901	Putative ATP diphosphatase
MtrunA17Chr2g0325911	Putative transcription factor AP2-EREBP family
MtrunA17Chr2g0325921	Putative transcription factor C2H2 family
MtrunA17Chr2g0325931	Putative transcription factor GRF family
MtrunA17Chr2g0325941	hypothetical protein
MtrunA17Chr2g0325951	Putative proton-dependent oligopeptide transporter family, major facilitator superfamily
MtrunA17Chr2g0325961	Putative proton-dependent oligopeptide transporter family, major facilitator superfamily
MtrunA17Chr2g0325971	Putative transcription factor MADS-type1 family
MtrunA17Chr2g0325981	Putative transcription factor WD40-like family
MtrunA17Chr2g0325991	Putative V-type ATPase, V0 complex, 116kDa subunit family
MtrunA17Chr2g0326001	Putative transcription factor C2C2-Dof family
MtrunA17Chr2g0326011	hypothetical protein
MtrunA17Chr2g0326021	Putative Zinc finger, SWIM-type, interactor of constitutive active ROPs
MtrunA17Chr2g0326031	Putative carbamoyl-phosphate synthase (glutamine-hydrolyzing)
MtrunA17Chr2g0326041	Putative transcription factor AS2-LOB family
MtrunA17Chr2g0326051	Putative transcription factor AS2-LOB family
MtrunA17Chr2g0326061	Putative rmlC-like jelly roll protein
MtrunA17Chr2g0326071	Putative rmlC-like jelly roll protein
MtrunA17Chr2g0326091	Putative rmlC-like jelly roll protein
MtrunA17Chr2g0326101	Putative Cystatin domain-containing protein
MtrunA17Chr2g0326111	Putative peptidase C1A, papain
MtrunA17Chr2g0326121	Putative protein disulfide-isomerase
MtrunA17Chr2g0326131	Putative protein disulfide-isomerase
MtrunA17Chr2g0326141	Putative small GTPase superfamily, ribonuclease H-like domain, PRP8 domain IV core
MtrunA17Chr2g0326151	Putative ribonuclease H-like domain, pre-mRNA-processing-splicing factor 8, U5-snRNA-binding protein
MtrunA17Chr2g0326161	Putative rmlC-like jelly roll protein
MtrunA17Chr2g0326171	Putative rmlC-like jelly roll protein
MtrunA17Chr2g0326181	hypothetical protein
MtrunA17Chr2g0326191	Putative rmlC-like jelly roll protein
MtrunA17Chr2g0326201	Putative rmlC-like jelly roll protein
MtrunA17Chr2g0326211	Putative proton-dependent oligopeptide transporter family, major facilitator superfamily
MtrunA17Chr2g0326221	Putative nitrate-transporting ATPase
MtrunA17Chr2g0326231	hypothetical protein
MtrunA17Chr2g0326241	Putative thioredoxin-like protein
MtrunA17Chr2g0326251	Putative PPM-type phosphatase domain, protein phosphatase 2C family
MtrunA17Chr2g0326261	hypothetical protein
MtrunA17Chr2g0326271	Putative chromatin regulator PHD family
MtrunA17Chr2g0326281	Putative transcription factor ARF family
MtrunA17Chr2g0326301	hypothetical protein
MtrunA17Chr2g0326311	hypothetical protein
MtrunA17Chr2g0326321	Putative protein transport protein SecG/Sec61-beta/Sbh
MtrunA17Chr2g0326331	Putative exosome complex RNA-binding protein 1/RRP40/RRP4
MtrunA17Chr2g0326341	Putative exosome complex RNA-binding protein 1/RRP40/RRP4
MtrunA17Chr2g0326351	Putative target SNARE coiled-coil domain-containing protein
MtrunA17Chr2g0326361	Putative transcription factor NAM family
MtrunA17Chr2g0326371	Putative neprosin
MtrunA17Chr2g0326381	Putative transcription factor C2H2 family
MtrunA17Chr2g0326391	hypothetical protein
MtrunA17Chr2g0326411	Putative FAS1 domain-containing protein
MtrunA17Chr2g0326421	Putative FAS1 domain-containing protein
MtrunA17Chr2g0326431	Putative FAS1 domain-containing protein
MtrunA17Chr2g0326441	Putative glycosidase
MtrunA17Chr2g0326451	Putative beta-galactosidase
MtrunA17Chr2g0326461	hypothetical protein
MtrunA17Chr2g0326471	Putative transcription factor C2H2 family
MtrunA17Chr2g0326481	Putative glycosidase
MtrunA17Chr2g0326491	Putative glycosidase
MtrunA17Chr2g0326501	Putative gag-polypeptide of LTR copia-type
MtrunA17Chr2g0326511	Putative RNA-directed DNA polymerase
MtrunA17Chr2g0326521	Putative beta-galactosidase
MtrunA17Chr2g0326531	Putative protein kinase CAMK-CAMKL-LKB family
MtrunA17Chr2g0326541	Putative galactose oxidase, beta-propeller
MtrunA17Chr2g0326551	Putative E3 ubiquitin-protein ligase MARCH
MtrunA17Chr2g0326561	Putative (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin)
MtrunA17Chr2g0326571	hypothetical protein
MtrunA17Chr2g0326581	Putative protein disulfide-isomerase
MtrunA17Chr2g0326601	Putative protein kinase RLK-Pelle-RLCK-IXa family
MtrunA17Chr2g0326611	hypothetical protein
MtrunA17Chr2g0326621	Putative major intrinsic protein
MtrunA17Chr2g0326631	hypothetical protein
MtrunA17Chr2g0326641	hypothetical protein
MtrunA17Chr2g0326651	Putative ribosomal protein L11/L12
MtrunA17Chr2g0326661	Putative senescence regulator S40
MtrunA17Chr2g0326671	Putative pentatricopeptide
MtrunA17Chr2g0326681	Putative pentatricopeptide
MtrunA17Chr2g0326691	Putative tetratricopeptide-like helical domain, DYW domain-containing protein
MtrunA17Chr2g0326701	hypothetical protein
MtrunA17Chr2g0326711	Putative vacuolar fusion protein Mon1
MtrunA17Chr2g0326721	Putative double-stranded RNA-binding domain-containing protein
MtrunA17Chr2g0326731	Putative transcription factor & lipid binding HD-SAD family
MtrunA17Chr2g0326741	Putative SIT4 phosphatase-associated protein family
MtrunA17Chr2g0326751	hypothetical protein
MtrunA17Chr2g0326761	Putative transcription factor ARF family
MtrunA17Chr2g0326771	Putative transcription factor C2C2-GATA family
MtrunA17Chr2g0326781	Putative protein ENHANCED DISEASE RESISTANCE 2, PH domain, START
MtrunA17Chr2g0326791	Putative sugar phosphate transporter domain-containing protein
MtrunA17Chr2g0326801	hypothetical protein
MtrunA17Chr2g0326811	Putative transcription regulator MED7 family
MtrunA17Chr2g0326821	Putative transcription factor AS2-LOB family
MtrunA17Chr2g0326831	Putative F-box domain, FBD domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr2g0326841	Putative LOG family protein
MtrunA17Chr2g0326851	Protein CNGC15c
MtrunA17Chr2g0326861	Putative Ion transport domain-containing protein
MtrunA17Chr2g0326871	Protein CNGC15c
MtrunA17Chr2g0326891	hypothetical protein
MtrunA17Chr2g0326901	Putative protein kinase RLK-Pelle-RLCK-XVI family
MtrunA17Chr2g0326911	Putative chromatin regulator PHD family
MtrunA17Chr2g0326921	Putative phenylalanine ammonia-lyase
MtrunA17Chr2g0326931	hypothetical protein
MtrunA17Chr2g0326941	hypothetical protein
MtrunA17Chr2g0326951	hypothetical protein
MtrunA17Chr2g0326961	hypothetical protein
MtrunA17Chr2g0326981	hypothetical protein
MtrunA17Chr2g0326991	Putative DNA helicase
MtrunA17Chr2g0327001	Putative DNA helicase
MtrunA17Chr2g0327011	hypothetical protein
MtrunA17Chr2g0327021	Putative transcription factor Homeodomain-TALE-BEL family
MtrunA17Chr2g0327031	Putative rlpA-like protein, double-psi beta-barrel
MtrunA17Chr2g0327041	Putative rlpA-like protein, double-psi beta-barrel
MtrunA17Chr2g0327051	Putative rlpA-like protein, double-psi beta-barrel
MtrunA17Chr2g0327071	hypothetical protein
MtrunA17Chr2g0327091	Putative rlpA-like protein, double-psi beta-barrel
MtrunA17Chr2g0327101	Putative protein kinase RLK-Pelle-LysM family
MtrunA17Chr2g0327111	hypothetical protein
MtrunA17Chr2g0327121	Putative vesicle-fusing ATPase
MtrunA17Chr2g0327131	Putative phosphatidylinositol N-acetylglucosaminyltransferase
MtrunA17Chr2g0327141	Putative P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr2g0327161	hypothetical protein
MtrunA17Chr2g0327191	hypothetical protein
MtrunA17Chr2g0327201	Putative association with the SNF1 complex (ASC) domain-containing protein
MtrunA17Chr2g0327211	hypothetical protein
MtrunA17Chr2g0327221	Cell division cycle protein 48 
MtrunA17Chr2g0327231	Cell division cycle protein 48 
MtrunA17Chr2g0327241	Putative sulfate-transporting ATPase
MtrunA17Chr2g0327251	Putative XS domain-containing protein
MtrunA17Chr2g0327261	hypothetical protein
MtrunA17Chr2g0327271	Putative dolichol kinase
MtrunA17Chr2g0327281	Putative small auxin-up RNA
MtrunA17Chr2g0327291	Putative adenosinetriphosphatase
MtrunA17Chr2g0327301	hypothetical protein
MtrunA17Chr2g0327311	Putative heavy metal-associated domain, HMA
MtrunA17Chr2g0327331	hypothetical protein
MtrunA17Chr2g0327341	Putative AMP-dependent synthetase/ligase, AMP-binding enzyme domain-containing protein
MtrunA17Chr2g0327351	Putative transcription factor MYB-HB-like family
MtrunA17Chr2g0327361	Putative alpha-L-fucosidase
MtrunA17Chr2g0327371	Putative carboxypeptidase C
MtrunA17Chr2g0327381	Putative carboxypeptidase C
MtrunA17Chr2g0327391	hypothetical protein
MtrunA17Chr2g0327401	Putative carboxypeptidase C
MtrunA17Chr2g0327411	Putative xyloglucan:xyloglucosyl transferase, Xyloglucan-specific endo-beta-1,4-glucanase
MtrunA17Chr2g0327421	Putative HAD-superfamily hydrolase, subfamily IIA
MtrunA17Chr2g0327431	Putative trans-2-enoyl-CoA reductase (NADPH)
MtrunA17Chr2g0327441	Putative leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr2g0327451	Putative F-box domain-containing protein
MtrunA17Chr2g0327461	hypothetical protein
MtrunA17Chr2g0327471	Putative protein kinase RLK-Pelle-RLCK-VIIa-1 family
MtrunA17Chr2g0327481	Putative coactivator CBP, KIX domain-containing protein
MtrunA17Chr2g0327491	hypothetical protein
MtrunA17Chr2g0327511	Putative protein kinase RLK-Pelle-RLCK-VIIa-1 family
MtrunA17Chr2g0327521	hypothetical protein
MtrunA17Chr2g0327531	Putative protein kinase RLK-Pelle-RLCK-VIIa-1 family
MtrunA17Chr2g0327541	Putative protein kinase RLK-Pelle-RLCK-VIIa-1 family
MtrunA17Chr2g0327551	hypothetical protein
MtrunA17Chr2g0327561	Putative protein kinase AGC-RSK-2 family
MtrunA17Chr2g0327571	Putative nuclear factor related to kappa-B-binding protein
MtrunA17Chr2g0327581	Putative plus-end-directed kinesin ATPase
MtrunA17Chr2g0327601	Putative chitinase
MtrunA17Chr2g0327611	Putative chitinase
MtrunA17Chr2g0327621	Putative transcription factor C2C2-CO-like family
MtrunA17Chr2g0327631	Putative ribonuclease P
MtrunA17Chr2g0327641	Histone H4
MtrunA17Chr2g0327651	Putative rmlC-like jelly roll protein
MtrunA17Chr2g0327661	hypothetical protein
MtrunA17Chr2g0327671	Putative protein kinase RLK-Pelle-CrRLK1L-1 family
MtrunA17Chr2g0327681	hypothetical protein
MtrunA17Chr2g0327701	hypothetical protein
MtrunA17Chr2g0327711	Putative ankyrin repeat-containing protein
MtrunA17Chr2g0327721	Putative very-long-chain 3-oxoacyl-CoA synthase
MtrunA17Chr2g0327731	hypothetical protein
MtrunA17Chr2g0327741	Putative exocyst complex component Exo70, cullin repeat-like-containing domain-containing protein
MtrunA17Chr2g0327751	Putative Homeobox domain-containing protein
MtrunA17Chr2g0327761	Putative UAA transporter
MtrunA17Chr2g0327771	Putative GTP cyclohydrolase II
MtrunA17Chr2g0327781	Putative ribosomal protein L25/L23
MtrunA17Chr2g0327791	Putative transcription factor C2H2 family
MtrunA17Chr2g0327801	hypothetical protein
MtrunA17Chr2g0327811	hypothetical protein
MtrunA17Chr2g0327821	Putative transcription factor MYB-HB-like family
MtrunA17Chr2g0327831	Putative harbinger transposase-derived nuclease domain-containing protein
MtrunA17Chr2g0327841	hypothetical protein
MtrunA17Chr2g0327851	Putative chromosomal replication initiator, DnaA, harbinger transposase-derived nuclease
MtrunA17Chr2g0327861	Putative DNA-binding domain-containing protein
MtrunA17Chr2g0327871	hypothetical protein
MtrunA17Chr2g0327881	Putative DNA-binding domain-containing protein
MtrunA17Chr2g0327891	Putative alpha-galactosidase
MtrunA17Chr2g0327901	Putative transcription factor C2H2 family
MtrunA17Chr2g0327911	Putative small GTPase superfamily, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr2g0327921	Putative nucleotide-binding alpha-beta plait domain-containing protein
MtrunA17Chr2g0327931	Putative transcription factor Hap3/NF-YB family
MtrunA17Chr2g0327941	hypothetical protein
MtrunA17Chr2g0327951	Putative transcription factor Hap3/NF-YB family
MtrunA17Chr2g0327961	hypothetical protein
MtrunA17Chr2g0327971	Putative [Protein-PII] uridylyltransferase
MtrunA17Chr2g0327981	Putative UDP-glucuronate decarboxylase
MtrunA17Chr2g0327991	hypothetical protein
MtrunA17Chr2g0328001	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr2g0328011	hypothetical protein
MtrunA17Chr2g0328021	Putative transcription factor C2C2-Dof family
MtrunA17Chr2g0328031	Putative transcription factor C2H2 family
MtrunA17Chr2g0328041	hypothetical protein
MtrunA17Chr2g0328051	hypothetical protein
MtrunA17Chr2g0328071	hypothetical protein
MtrunA17Chr2g0328081	Putative amino acid transporter, transmembrane domain-containing protein
MtrunA17Chr2g0328091	Putative Actin family
MtrunA17Chr2g0328101	Putative protein kinase RLK-Pelle-RLCK-IXb family
MtrunA17Chr2g0328111	hypothetical protein
MtrunA17Chr2g0328121	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr2g0328131	Mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal protein PMP24
MtrunA17Chr2g0328141	Outer envelope pore protein 16
MtrunA17Chr2g0328151	Putative reverse transcriptase zinc-binding domain-containing protein
MtrunA17Chr2g0328161	Putative triose-phosphate isomerase
MtrunA17Chr2g0328171	Putative transferase, protein kinase RLK-Pelle-RLCK-VIIa-2 family
MtrunA17Chr2g0328181	Putative transferase
MtrunA17Chr2g0328191	Putative transferase, protein kinase RLK-Pelle-RLCK-VIIa-2 family
MtrunA17Chr2g0328201	Putative transferase, protein kinase RLK-Pelle-RLCK-VIIa-2 family
MtrunA17Chr2g0328211	Putative transferase, protein kinase RLK-Pelle-RLCK-VIIa-2 family
MtrunA17Chr2g0328221	hypothetical protein
MtrunA17Chr2g0328231	hypothetical protein
MtrunA17Chr2g0328241	Putative XS domain-containing protein
MtrunA17Chr2g0328251	Putative XS domain-containing protein
MtrunA17Chr2g0328261	Putative expansin/Lol pI
